Review,True Label,Predicted Label
"I get the feeling that Lisa Krueger is easy to overlook. I personally found her first film, 1996's Manny and Lo, to be a wonderfully detailed character study and the performances were uniformly wonderful(with special credit to Mary Kay Place). The film played for a week or two in major urban centers and vanished. One or two critics really liked it, but many viewed it as slight. Krueger's second film, Committed, was released this year (2000) (after nearly two years of delays) and it similarly vanished. And once again critics dismissed the film as slight and pushed the film aside, at most praising Heather Graham's screen presence, but rarely her acting ability. And once again, for me, Committed is a solid success. I feel as if Krueger has a genuine voice and a personal visual style and these are traits that shouldn't be so easily ignored, simply because she works on a very restrained canvass.<br /><br />The title has several meanings, but mostly it refers to Joline (Graham)'s refusal to let her husband Carl (Luke Wilson) flake out and leave her. She follows him from New York to El Paso and becomes one of the most appealing stalkers in recent cinematic history. Her respect for her marriage vows leads her to Mexican mysticism and self-discovery. And yep, the plot is just that simple and thus, just that easy to ignore.<br /><br />Joline, of course, is the crying voice of a generation whose parents divorced at a rate nearing fifty percent. And for me, her personal revolution against broken promises and a legacy of deceit is fairly intelligent and powerful. Confident in the belief that people just don't have enough faith in each other, Joline inevitably has to discover that her beliefs aren't in synche with those of society at large. Several comments her have referred to her character as one-dimensional and I'm afraid that that's a simplistic reading of the film. Or perhaps even a misreading. If Joline were just an innocent, she wouldn't be interesting at all. It's the fact that she understands the world and refuses to play by the rules of the ""normals"" that makes her so interesting. Sociologically, she's a complete deviant.<br /><br />Krueger sometimes falls into moments of cutesy dialogue and her direction of this film has a rather odd over-reliance on shots of clouds moving across the El Paso skyline. However, her mistakes are fairly rare and in this film, as in Manny and Lo, it's the performances that carry the day. Graham has never been better because she's never had a character as perfectly tailored to her as Joline. For the first time in her career, Graham seems comfortable playing an adult, even one in slightly arrested development. She carries the film perfectly. Luke Wilson and Casey Affleck (as Joline's brother) both have a number of fine moments, as do Alfonso Arau, as a Mexican Mystic and Mark Ruffalo and T-Bo, the slightly psychotic truck driver. As in Manny and Lo, the characters are part of their environments, well detailed totally organic creations. These characters may sometimes seem pointlessly quirky, but they make sense in their context. Even Goran Visnjic, as an artist turned on by Joline's devotion, fits in in some strange way, even though his character's foreigness is never discussed.<br /><br />For me, this is a movie that gains depth looking back. Another commenter here spoke of the stereotypical Mexican portrayals. And again I'm tempted to call that a misreading. Joline is looking for self-justification. She knows that her commitment is out of control, but she's looking for any spiritual avenue that can help her make sense of herself. Arau's character understands that most people don't believe in him and he plays up his own faith when he sees a woman who respects him. <br /><br />I guess I can understand how this movie could be viewed as underwhelming, I'd simply disagree. It's consistently funny, frequently hilarious, and all of the characters exude a warmth which is quite wonderful.<br /><br />I'm giving this one a 7.5/10 and when I log in the vote here, that'll go up to an 8.",1,1
"Everything I can say, is that it's one of the best documentary movies of the ocean ever seen. It impresses immensely by professional filming, scenery and idea! What I've seen during those 50 minutes cannot be compared to any other visions of the blue planet",1,1
"I saw this movie today (opened yesterday here) and was simply delighted.<br /><br />I saw a review that said something to the effect that the reviewer thought this would be just another teen movie, but then found it was based on Shakespeare's Twelfth Night ... and then started trying to justify liking this flick on Shakespearean grounds. I really think this is going way overboard: the only connections I could see with Twelfth Night are (a) the basic conceit of a girl masquerading as a man; (b) the extensive male-female humor arising out of that basic conceit; and (c) some of the names (including Viola & Duke).<br /><br />Aside from those names, the thematic commonalties (a & b) are really great themes for any script, and this movie's script is no exception. Beyond that, though, this really is a simply delightful and very contemporary/traditional teen flick. And that's a perfectly legit genre even if highbrows have to find an excuse to like it ... like alluding to Shakespeare.<br /><br />The movie is bright, fast-paced, emotive, stylized, funny ... full of teen hormones and teen humor and male/female humor suitable for all ages. And that's really the best part IMHO: really just about every male stereotype and every female stereotype is depicted in roundly appealing over-the-top fun. Those stereotypes are parodied relentlessly but affectionately, with such a complexity of invention that I'm still a little bewildered ... but really don't feel at all disappointed in that regard, it's not that kind of a movie: things come at you fast and fun and you get a laugh and a groan and then move on to the next split-second happening.<br /><br />Amanda Bynes really is just delightful as Viola / Sebastian; Channing Tatum makes a wonderful Duke; David Cross does a wonderfully over the top Principal Gold. All of the acting and characterizations were fine and on target. Cinematography was excellent.<br /><br />Wonderful entertainment from beginning to end ... check it out!",1,1
"Directed by the younger brother of great director Leo McCarey this is a pretty good short from the Three Stooges, nominated for an Academy Award. Here the stooges are doctors named doctor Howard, doctor Fine and doctor Howard. They are not the brightest doctors but they get the benefit of the doubt as long as they handle for duty and humanity.<br /><br />I liked this short. It is not one of their best but some moments are hilarious though. One joke that is repeated more than once works every time. The part where they must operate the hospital's boss is terrific. To say more would spoil some of the jokes, so you must see it for yourself. Just another fine short from the Three Stooges.",1,1
"If this movie were in production today it would probably have the christian right-wingers screaming 'child porn'. It is far from a great film, in fact it is rather pedestrian. However, if you have an imagination and a fond remembrance of youth and first love I recommend it.",0,0
"When I was a little girl, I absolutely adored The Swan Princess, it was reliving the same fairy tales of Snow White, Sleeping Beauty, and Cinderella, the princess and her prince who saves the day is always a timeless story that will never die, well, hopefully. But I figured that I would check out the sequels for The Swan Princess to see what they were like and unfortunately, this is the typical cartoon sequel that just disappoints more than entertains. The only character I found still very amusing was the Queen, she was very funny in this movie and had the best part. But with the voice changes, they were noticeable and also bothered me quite a bit, I don't mean to be picky, just it was too weird for me. The story also was just more or less borrowed from the first Swan Princess, just the villain in this movie is following Rothbart's footsteps.<br /><br />Odette and Derek are about to celebrate their one year anniversary, but Derek has been too preoccupied with fighting for his kingdom to keep it safe. With his mother's birthday also coming up, he forgets about that since there is a new villain in town, Clavious, who is hoping to go above and beyond where Rothbart's powers went and kidnaps the Queen on her birthday. But Odette must change back into her swan self in order to help Derek fight him and save his mother.<br /><br />The Swan Princess 2 is of course more than alright for the kids, that I never mind, it's good clean fun for them. The reason why these sequels are disappointing though is because it is usually just for the kids, that is the audience they aim for, but it's more enjoyable when the jokes and story can be enjoyed by everyone. Now there are a few laughs and giggles here and there, but this wasn't as clever in my opinion to the first Swan Princess. I would recommend it for the little one's, but if you're looking for a fun cartoon movie, I'd recommend staying with the first Swan Princess.<br /><br />4/10",0,0
"Frank Falenczyk: It isn't that I'm sorry I killed them; it's that I'm sorry I killed them badly.<br /><br />Wow! Talk about a swing and a miss. You have a great cast and a great plot with endless possibilties...how do you f_ck that up?! Well, apparently John Dahl has found a way. With an atrocious screenplay featuring jokes about as funny as a malaria epidemic and dialogue so painfully dry it makes none of the characters likable, 'You Kill Me' might be the biggest cinematic failure of 2007. On a positive note, Ben Kinglsey provides another great performance as the alcoholic Polish hit man trying to get clean but the material he has to work with is crap. Tea Leoni is good as well as is Luke Wilson, Dennis Farina, Bill Pullman, Philip Baker Hall and the rest of the cast. I guess the best way to describe 'You Kill Me' is a terrible movie with good performances. Grade: D+",0,0
"So after the initial disappointment of the first Final Fantasy movie, which seemed to bare next to no resemblance to the Final Fantasy series, Final Fantasy: Advent Children has released itself to a warm reception and, now, a dedicated fanbase. And the reason for the films success is understandable as it has lush graphics, fast moving fight sequences and some cool as hell characters. However, if you haven't played FF7 then it is likely that you will not enjoy this film as it's storyline carries on from the game without previous explanation and your likely to get lost from the plot even if you have played the game. Secondly, there is no character development, without previous knowledge from the game your opinions on the characters are limited to 'cool' and 'not cool'. Of course, for FF7 fans the film is almost guaranteed to entertain, at least for nostalgic reasons, and it's cool seeing all the characters you grew to love from the game rendered in some pretty amazing computer animation. One last complaint, the film, at least in my opinion, attempted to cram too much into less than two hours and therefore the last half hour or so seems horribly rushed. If you played and enjoyed FF7 than it is a worthwhile watch, though nothing too special. If you have not played FF7 then it is best that you play it first before watching this film.",0,0
"Everyone likes the coolly created, memorable heist movie. Alain Delon provides the antihero, Melville provides the cool, and a handful of other great talent (Yves Montand, Gian Maria Volonte, and Andre Bourvil, mostly) arrives to add a crisp engaging movie...<br /><br />...with very little dialog. This is great, because one certain aspect of the genre tends to be a lot of dialog involving the quick-witted and their various repartees. This movie, however, could be watched with the sound completely off and not too terribly much would be missed. Not to say the sound is bad, oh no, the jazzy soundtrack and the crisp audio catching the little movements makes the slow, patient deliberation of the patients very compelling.<br /><br />What's also really neat about this film is that the color cinematography is pretty fantastic. Usually when it comes to cinematography, black and white movies tend to stick out in my mind, but this film has some very strong and beautiful imagery that makes the movie pure visual pleasure to observe.<br /><br />--PolarisDiB",1,1
"If you can watch a Bond film from 1983 that isn't as good as Octopussy and still enjoy it.<br /><br />If you can accept production values which aren't that much above the level of a TV movie.<br /><br />If you can look at Sean Connery with wrinkles on his forehead beneath an obvious toupée and still see James Bond.<br /><br />If you can get past an inexperienced Basinger, a weaker Largo and a jolly Q.<br /><br />If you can learn to love an idiosyncratic score, not up there with Barry on his worst day.<br /><br />If you don't believe the hyperbolic reviews that it was greeted with on release.<br /><br />If you can meet a poker battle and a video game face off and enjoy them both the same.<br /><br />Yours is Never Say Never Again and everything that's in it.<br /><br />And, what is more, you'll probably enjoy it, my son!",1,0
